"RADICADO,""ÁREA RESPONSABLE"",""ASUNTO"",""VIGENCIA"""
"2420001-2025-1137,""Gilma Patricia Chacón Tunjo"",""Reiteración oficio 2420001-2025-0631 de solicitud de información para dar respuesta a requerimientos cierre de PIN-GEN 18446"",""2025"""
"1530001-2026-710,""Corredores Ambientales"",""Solicitud complementación de información – Memorando Interno 2510001-2026-007"",""2026"""
"E-2026-057878,""Corredores Ambientales"",""Derecho de petición – Solicitud de impulso administrativo, vigilancia preventiva y definición del proceso de liquidación del Contrato No. 1-01-25100-1220-2022"",""2026"""
"E-2026-058152,""Corredores Ambientales"",""Respuesta al radicado EAAB 2510001-S-2026-140868 – IDRD 20262100237952. Expediente SDA-08-2025-1034, Auto No. 07380 del 15 de octubre de 2025"",""2026"""
"E-2026-040142,""Corredores Ambientales"",""700-566 EAAB Radicación Informe Final SST Inter"",""2026"""
"E-2026-025962,""Corredores Ambientales"",""Radicado SDA. No. 2022ER159394"",""2026"""
"E-2026-028468,""Corredores Ambientales"",""Solicitud diligenciamiento histórico de construcción de ciclorrutas en Bogotá - EAAB"",""2026"""
"E-2026-040141,""Corredores Ambientales"",""700-565 EAAB Radicación Informe Final Técnico y Ambiental Inter"",""2026"""
"E-2026-040139,""Corredores Ambientales"",""700-564 EAAB Radicación Informe Final Componente Social"",""2026"""
"E-2026-040137,""Corredores Ambientales"",""700-563 EAAB Radicación Informes Mensuales Técnicos Inter No. 9 al 14"",""2026"""
